file_name,source,student_id,cie,page,page_kind,split
s42_c2_p05.png,student_42/cie_2/page_05.png,student_42,2,5,content,val
s43_c2_p02.png,student_43/cie_2/page_02.png,student_43,2,2,content,train
s43_c3_p08.png,student_43/cie_3/page_08.png,student_43,3,8,content,train
s44_c2_p04.png,student_44/cie_2/page_04.png,student_44,2,4,content,train
s44_c2_p05.png,student_44/cie_2/page_05.png,student_44,2,5,content,train
s45_c1_p02.png,student_45/cie_1/page_02.png,student_45,1,2,content,val
s46_c2_p03.png,student_46/cie_2/page_03.png,student_46,2,3,content,train
s47_c1_p05.png,student_47/cie_1/page_05.png,student_47,1,5,content,test
s48_c3_p03.png,student_48/cie_3/page_03.png,student_48,3,3,content,test
s49_c3_p01.png,student_49/cie_3/page_01.png,student_49,3,1,cover,train
s49_c3_p06.png,student_49/cie_3/page_06.png,student_49,3,6,content,train
s50_c2_p01.png,student_50/cie_2/page_01.png,student_50,2,1,cover,test
s50_c3_p09.png,student_50/cie_3/page_09.png,student_50,3,9,content,test
s51_c2_p01.png,student_51/cie_2/page_01.png,student_51,2,1,cover,train
s51_c2_p07.png,student_51/cie_2/page_07.png,student_51,2,7,content,train
s52_c2_p02.png,student_52/cie_2/page_02.png,student_52,2,2,content,val
s53_c1_p12.png,student_53/cie_1/page_12.png,student_53,1,12,content,train
s54_c1_p02.png,student_54/cie_1/page_02.png,student_54,1,2,content,train
s55_c1_p07.png,student_55/cie_1/page_07.png,student_55,1,7,content,train
s56_c3_p02.png,student_56/cie_3/page_02.png,student_56,3,2,content,train
s57_c1_p03.png,student_57/cie_1/page_03.png,student_57,1,3,content,val
s58_c3_p03.png,student_58/cie_3/page_03.png,student_58,3,3,content,train
s59_c2_p05.png,student_59/cie_2/page_05.png,student_59,2,5,content,train
s60_c1_p06.png,student_60/cie_1/page_06.png,student_60,1,6,content,train
s61_c3_p04.png,student_61/cie_3/page_04.png,student_61,3,4,content,train
